Title,Link,Duration (seconds),lectureNumber
Veritasium - 4 Revolutionary Riddles Resolved!,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/79/,1:47,4
Integrating Electric Field,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/80/,7:38,4
More dQ - Spherical Coordinates,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/81/,16:05,4
Using Coordinates to Integrate in 3D,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/82/,11:00,4
Integrating Electric Field - Hollow Disk,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/83/,14:35,4
Physics Girl - Physics of Skateboarding,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/84/,1:18,5
Possible Electric Field Integrals,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/85/,2:53,5
Hollow Disk (part a),https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/86/,6:37,5
Hollow Disk (part b),https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/87/,6:44,5
Hollow Disk (part c),https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/88/,15:32,5
Hollow Disk (part d),https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/89/,12:53,5
Ring of Charge (part a),https://apps.tlt.stonybrook.edu/vq/evannieuwenh/90/,4:33,5
Smarter Every Day - The Walking Water Mystery,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/91/,1:47,6
Ring of Charge (part b),https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/92/,8:32,6
Ring of Charge (part c),https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/93/,4:47,6
Ring of Charge (part d),https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/94/,6:56,6
Ring of Charge (part e),https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/95/,4:14,6
Summary - Finite Line of Charge,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/96/,3:01,6
Summary - Full Ring of Charge,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/97/,0:55,6
Summary - Partial Ring of Charge,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/98/,8:46,6
Summary - Hollow Disk of Charge,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/99/,1:35,6
Summary - Partial Spherical Shell of Charge,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/100/,6:45,6
Sneak Peek - Gauss's Law,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/101/,1:50,6
